
  
   Name                                                                   | Size       | Percent used | Index scans | Seq scans | Unused 
   public.notifications_outbox_launch_id_idx                              | 16 kB      | 0%           | 0           | 0         | true   
   public.social_accounts_platform_provider_active_idx                    | 16 kB      | 100%         | 337         | 0         | false  
   public.artemis_timeline_events_pkey                                    | 16 kB      | 0%           | 0           | 0         | true   
   public.ll2_spacecraft_configs_pkey                                     | 16 kB      | 100%         | 149466      | 0         | false  
   public.orbit_elements_supgp_group_or_source_trgm_idx                   | 16 kB      | 0%           | 0           | 0         | true   
   public.embed_widgets_preset_id_idx                                     | 8192 bytes | 0%           | 0           | 0         | true   
   public.launch_filter_presets_user_idx                                  | 8192 bytes | 100%         | 146         | 0         | false  
   public.feedback_submissions_launch_id_idx                              | 8192 bytes | 0%           | 0           | 0         | true   
   public.launch_expected_satellite_payloads_pkey                         | 8192 bytes | 0%           | 0           | 0         | true   
   public.launch_filter_presets_default_one_per_user                      | 8192 bytes | 0%           | 0           | 0         | true   
   public.ws45_launch_forecasts_valid_window_gist                         | 8192 bytes | 0%           | 0           | 0         | true   
   public.tipjar_customers_stripe_customer_id_key                         | 8192 bytes | 0%           | 0           | 0         | true   
   public.sms_consent_events_phone_e164_idx                               | 8192 bytes | 0%           | 0           | 0         | true   
   public.artemis_entities_pkey                                           | 8192 bytes | 0%           | 0           | 0         | true   
   public.sms_consent_events_pkey                                         | 8192 bytes | 0%           | 0           | 0         | true   
   public.artemis_entities_entity_key_key                                 | 8192 bytes | 0%           | 0           | 0         | true   
   public.embed_widgets_watchlist_id_idx                                  | 8192 bytes | 0%           | 0           | 0         | true   
   public.billing_events_type_idx                                         | 8192 bytes | 0%           | 0           | 0         | true   
   public.push_subscriptions_pkey                                         | 8192 bytes | 0%           | 0           | 0         | true   
   public.calendar_feeds_user_idx                                         | 8192 bytes | 0%           | 0           | 0         | true   
   public.tipjar_customers_pkey                                           | 8192 bytes | 0%           | 0           | 0         | true   
   public.feedback_submissions_pkey                                       | 8192 bytes | 0%           | 0           | 0         | true   
   public.feedback_submissions_lower_email_idx                            | 8192 bytes | 0%           | 0           | 0         | true   
   public.artemis_entities_type_idx                                       | 8192 bytes | 100%         | 312         | 0         | false  
   public.billing_events_user_id_idx                                      | 8192 bytes | 100%         | 3           | 0         | false  
   public.artemis_procurement_awards_pkey                                 | 8192 bytes | 0%           | 0           | 0         | true   
   public.feedback_submissions_created_at_idx                             | 8192 bytes | 100%         | 29          | 0         | false  
